id,model_1,model_2,model_3,final_prediction,uncertainty_std
mp-1120762,0.283,0.7016,1.6016,0.8620666666666666,0.6737868010975974
mp-562100,0.3707,0.4509,0.3592,0.3936,0.0499552800012171
mp-7131,0.8159,1.5433,0.0798,0.8130000000000001,0.7317543098608985
mp-10656,0.2161,0.8949,-0.7287,0.12743333333333332,0.8154235545612681
mp-556989,1.9876,1.9822,2.0906,2.0201333333333333,0.06108562296754711
mp-1245222,2.051,2.0724,1.588,1.9038000000000002,0.27370005480452503
mp-1018665,0.6811,1.4591,1.1183,1.0861666666666667,0.3899941196137877
mp-1008999,0.44,1.0088,1.3905,0.9464333333333332,0.47830927581778443
mp-2901401,0.9031,0.7951,0.994,0.8973999999999999,0.09957243594489389
mp-29131,0.5316,0.0554,-0.553,0.011333333333333306,0.5436411438930403
mp-1224444,0.2765,0.6929,1.2617,0.7437,0.49456065350975914
mp-7368,1.7869,1.9271,1.2367,1.6502333333333332,0.3649265314187684
mp-554074,0.9368,0.4776,1.041,0.8184666666666667,0.29976152744028595
mp-1376600,0.2697,0.0983,0.2257,0.1979,0.08901752636419415
mp-1207193,0.6589,0.1229,0.4149,0.39890000000000003,0.2683579698835121
mp-1216446,0.786,-0.0004,-1.3509,-0.1884333333333333,1.080788047367907
mp-20826,1.6518,-0.112,0.6485,0.7294333333333333,0.8846808822017878
mp-639,-3.7602,0.1613,0.4855,-1.0378,2.3632335326835565
mp-1189032,1.4119,-0.2865,0.943,0.6894666666666667,0.8771259905699599
mp-1019091,0.9944,1.4162,1.0396,1.1500666666666666,0.23158362060675472
mp-1080369,1.4223,1.7457,1.5088,1.5589333333333333,0.1674273076094021
mp-571547,0.523,0.3165,0.9228,0.5874333333333334,0.3082428642050507
mp-1072086,1.4163,0.3341,1.8014,1.1839333333333333,0.7607483311406823
mp-1206966,2.1904,-0.1236,1.6026,1.2231333333333332,1.2027656518762635
mp-21765,1.0427,0.4168,0.1771,0.5455333333333333,0.44692845437869955
mp-1190042,-5.5385,0.3201,0.6069,-1.5371666666666666,3.468222151669834
mp-1411545,0.7025,0.8072,0.2422,0.5839666666666666,0.3005725591821937
mp-2761342,-1.5279,0.7867,0.5567,-0.061500000000000034,1.2751359613782367
mp-1079443,-3.581,-0.1858,-1.3799,-1.7155666666666667,1.7223094505150152
mp-1444174,0.3966,1.3495,0.4312,0.7257666666666666,0.54044587456408
mp-11800,-0.2752,0.6273,0.2395,0.19719999999999996,0.45273450277176797
mp-1220654,0.7219,0.3965,1.2916,0.8033333333333333,0.453072337859346
mp-21165,1.3844,0.6731,0.466,0.8411666666666667,0.48171510598416295
mp-1018809,1.3798,1.5009,1.2468,1.3758333333333332,0.1270964332046078
mp-1393712,1.0736,1.2407,1.0147,1.1096666666666668,0.11723738027324444
mp-1198139,1.9738,1.9645,2.0278,1.9887,0.034179379748614576
mp-1202023,1.9899,1.9704,2.0414,2.0005666666666664,0.036682193682130444
mp-1560,0.5558,0.3849,-0.9788,-0.012700000000000008,0.8410193874103021
mp-1104212,0.2304,0.3045,-0.4646,0.023433333333333306,0.4242700830053108
mp-237,0.1122,0.587,-0.9239,-0.07490000000000004,0.7726315486698689
mp-554820,1.9826,1.9807,2.0901,2.0178,0.06262084317541573
mp-1186355,0.0747,1.0697,0.4938,0.5460666666666667,0.4995549052239737
mp-849086,-0.0358,0.1559,0.3995,0.17320000000000002,0.2181650521967256
mp-684690,0.5188,0.9359,0.8101,0.7549333333333333,0.2139523856687121
mp-2280,-0.0012,0.8775,-0.3878,0.16283333333333333,0.64840282489617
mp-16366,0.4779,-0.0228,0.0626,0.17256666666666667,0.2678518682655272
mp-684749,0.5086,0.4844,2.0525,1.0151666666666668,0.8984385028110347
mp-1341046,0.2296,0.1378,0.0805,0.14930000000000002,0.07521229952607485
mp-1023938,0.1292,-0.0935,0.0355,0.02373333333333334,0.1118153090293692
mp-1080634,1.3096,1.6397,1.552,1.5004333333333335,0.17098492136247953
mp-555782,1.9798,1.9796,2.092,2.0171333333333332,0.06483651234708217
mp-1013525,-0.5292,1.1487,0.215,0.2781666666666667,0.8407316000563636
mp-1080353,0.953,1.3321,0.9231,1.0694,0.22799554820215243
mp-556000,1.984,1.9811,2.0916,2.0189,0.06297674173851808
mp-32672,0.0098,0.6645,0.8495,0.5079333333333333,0.44120161302213456
mp-1018817,0.8528,1.1968,0.9547,1.0014333333333332,0.17669749102161397
