formula,band_gap,formation_energy_per_atom,energy_above_hull,volume,density,nsites,cbm,vbm
AgSbS(OF3)2,2.555399999999999,-2.14160334219697,0.0,751.2637915097439,3.604446754912279,44.0,1.5225,-1.0329
AgSbS2,1.2220399999999993,-0.2027559590312486,0.0473554398749994,397.6692382765853,4.52567947883131,13.6,4.10344,2.8814
AgSbTe6S16(OF5)6,0.8025,-1.7565987455277772,0.135398057568183,1252.7527083645214,2.8819508741476563,60.0,0.7431,-0.0594
Al(MoS2)4,0.1104,-0.93897091767949,0.02527796628205,236.7132923483252,4.680826503204873,13.0,6.1405,6.0301
Al10ZnO16,4.326799999999999,-3.300505136666666,0.020921847037038,258.1503674253176,3.802958944804031,27.0,9.3044,4.9776
Al12ZnS19,0.067299999999999,-1.063253166253255,0.163541517135417,1187.2997795200915,2.792756359787642,64.0,5.3607,5.2934
Al2(WO4)3,4.01154,-2.4753877663823514,0.07891119354411799,913.0302220774353,5.251613594768905,57.8,4.06438,0.05283999999999991
Al2(ZnS2)3,2.7522,-1.083664459845778,0.024000783311688,233.7676566484166,3.143811760900508,11.0,5.2008,2.4486
Al2Ag2Bi2S3Cl8,1.9031999999999991,-1.3475888879901952,0.0,970.2588684538698,3.653851771334378,34.0,3.2333,1.3301
Al2BiS4,2.6364,-1.026826849464285,0.0,690.1283418024673,3.765146959092993,28.0,5.3296,2.6932
Al2CdS4,2.5942999999999996,-1.1367914319642916,0.0104416096428605,215.1725482086531,3.3418478687794027,10.5,5.3763,2.782
Al2Cr3CuS8,0.1357,-1.1090711564285711,0.0,248.05609191194992,3.548046548801847,14.0,5.3672,5.2315
Al2Cu2Bi2S3Cl8,1.2722,-1.349249576911765,0.006024103124988,886.2759979048017,3.667917346704007,34.0,3.8938,2.6216
Al2FeO4,2.8188999999999997,-2.881206051122449,0.022356451734692,982.145459755488,4.114009383936355,98.0,8.411200000000001,5.5923
Al2SiSn2S5O24,2.3465,-2.172949801397059,0.056256442438758,1405.0748557251816,3.062482534959147,102.0,4.0842,1.7377
Al2Zn(SeS)2,2.0670499999999996,-1.169880147098214,0.030812792499998,164.21288421502226,3.453131982520209,7.0,4.5653500000000005,2.4983000000000004
Al2Zn2S5,1.2137999999999998,-1.0215505207027107,0.11832958768518433,270.46853559319715,3.1900776550164873,13.5,5.230183333333334,4.016383333333334
Al2ZnO4,3.4381499999999994,-2.957424306428571,0.0636483221428575,134.33786446007065,4.535053755282174,14.0,7.81165,4.3735
Al2ZnS4,1.6933399999999996,-1.11294268267857,0.0775607853571429,328.22603020081954,2.8984327037758564,16.1,5.64074,3.9473999999999996
Al4(BiS4)3,0.234599999999999,-0.623697197102525,0.190996395307017,2087.6190612086684,3.562370563373002,76.0,2.8436,2.609
Al4InCuS8,1.1498,-1.044429628095243,0.034750933392849,264.3239171316417,3.4100488404894262,14.0,6.7466,5.5968
Al4Zn3Cr2O12,3.5397,-2.7706511228571413,0.002476868809522,425.1764730630902,4.687713991129271,42.0,7.0772,3.5375
Al4Zn4P8H13N3O32,4.306999999999999,-2.226994237474889,0.021552049023439,796.4412960511069,2.469530504613901,64.0,4.3918,0.0848
Al4ZnS7,3.0068,-1.154505132335067,0.055353650555556,615.1660999965585,2.147537361677574,24.0,4.4355,1.4287
Al5(BiS4)3,0.0575,-0.8052837649166631,0.123294675833335,1903.690025413193,4.000697689857456,80.0,4.1333,4.0758
Al5CuS8,1.4217,-1.167115974464285,0.0,245.90102135672277,3.072380860125777,14.0,7.1241,5.7024
Al6Cd4SO12,2.7127,-2.7123131624999983,0.0,357.9746858888572,3.87606053268021,23.0,3.1755,0.4628
Al8Zn3CdS16,2.4821,-1.16911616875,0.010569692678569,524.4134838155487,3.285307612627941,28.0,6.5214,4.0393
Al8Zn3CoO16,3.3987,-2.98165895625,0.005412967142857,1094.4288030511332,4.412225701392249,112.0,7.9841,4.5854
AlAg(WO4)2,1.56915,-2.0751726136805546,0.15369348958332152,212.92611114886336,7.345583855509988,18.0,5.46385,3.8947
AlBi(WO4)2,2.3077,-2.254597890833333,0.075047396249999,314.2264944747329,7.732715557621004,24.0,5.886,3.5783
AlBiSCl4,2.8305,-1.580356138571429,0.0,835.8509015210963,3.256818015369465,28.0,2.8415,0.011
AlCdInS4,0.745499999999999,-0.86805010446428,0.099387859642856,166.95929548160996,3.803964728868889,7.0,4.1724,3.4269
AlCo(WO4)2,0.8236499999999985,-2.2148480966666657,0.091076952812503,202.1894805428858,7.085166541384142,18.0,5.43645,4.6128
AlCr(WO4)2,1.8858999999999995,-2.379713933333333,0.10214148416666699,213.26714128220522,6.53367496366338,18.0,5.21035,3.3244499999999992
AlCu(WO4)2,1.050599999999999,-2.1549509281250003,0.1114975966666535,199.60098516992997,7.25170300708262,18.0,6.047599999999999,4.997
AlCu6H12SClO19,0.005199999999999,-1.1986462129375,0.11685182621875,799.9361505361063,3.287546134673937,80.0,1.2603,1.2551
AlCu6H18SClO19,0.5487000000000001,-1.311933914673912,0.051420229266306,878.0858057177652,3.017827719554467,92.0,1.8904,1.3417
AlCuH28S2ClO22,0.897699999999999,-1.447609973636364,0.006923258749985,524.0742947792694,1.807068354600658,55.0,0.2218,-0.6759000000000001
AlCuS2,1.4649499999999995,-0.9111334595312486,0.0519993943749995,107.16409254352577,3.644979887002457,6.0,6.98365,5.5187
AlCuSeS,1.2404,-0.8500360760937401,0.009697447499998,163.26958566791353,4.099794373196334,8.0,5.5971,4.3567
AlCuSnS4,0.712699999999999,-0.910110392142856,0.0,271.5089317769453,4.128246124787186,14.0,6.2355,5.5228
AlFe(WO4)2,1.89785,-2.2547462193750007,0.09795683895833149,275.7749182566329,6.986641583681692,24.0,5.56935,3.6715
AlGa(CuS2)2,1.1429,-0.8295413326562511,0.001452938124998,151.4645086231851,3.859674066956857,8.0,5.7271,4.5842
AlGaCu2(SeS)2,0.7461000000000001,-0.736743179843749,0.031648694375,165.38331036126056,4.476543572845931,8.0,4.7168,3.9707
AlIn(CuS2)2,0.7319999999999991,-0.7876838114062531,0.006313456249999,162.45337356186482,4.059538012329766,8.0,5.6267,4.8947
AlMo(WO4)2,1.89875,-2.2404148685416665,0.1154952397916645,212.33925015782953,7.1592870933133534,18.0,5.94405,4.0453
AlNi(WO4)2,1.9588,-2.248289101249999,0.043115591666673,259.3206713426957,7.445257730671965,24.0,6.4036,4.4448
AlSb(WO4)2,1.6412,-2.162271753333333,0.169118413749998,143.87146685815156,7.437744210054468,12.0,6.7689,5.1277
AlSn(WO4)2,0.6727,-2.231455463333332,0.145936349166666,212.11724578749747,7.4311995480935344,18.0,6.1562,5.483499999999999
AlSnP(SO6)2,3.1267,-2.267850087429973,0.029203155214474,1394.547188080357,3.092021072138147,102.0,4.2618,1.1351
AlTe(WO4)2,0.258,-2.0751382126388878,0.192741568645834,236.7861197568634,6.649293058815768,18.0,4.66245,4.404450000000001
AlV(WO4)2,1.316999999999999,-2.484224144166666,0.021675599166677,262.42791247879103,7.25900133664498,24.0,5.9723,4.6553
AlW3O8,1.7329499999999993,-2.242066488541666,0.1176214539583315,214.86683204500366,8.050395176447275,18.0,5.6081,3.8751499999999997
AlWO4,2.6164999999999994,-2.6573720899999995,0.0253372699999995,91.9344869129399,7.505334021578149,9.0,6.90535,4.28885
AlZn2Sb(HO)12,2.6138,-1.6127394830357131,0.018938515624999,255.1592885426568,3.147507463829184,28.0,3.1795,0.5657
AlZnB5H16C4(N2O5)2,4.4996,-1.343222935691057,0.035058534939024,3168.466112659616,1.7887419757077692,328.0,4.0265,-0.4731
AlZnB5H20C5(NO2)5,4.5107,-1.206286373528369,0.038524605664893,877.3317013369293,1.728750584831575,94.0,4.0863,-0.4244
AlZnB5H21C6(NO2)5,4.6496,-1.159467276062925,0.040962723214287,890.613121492922,1.7515165392921932,98.0,4.4474,-0.2022
AlZnGaS4,2.7802,-1.028982239107138,0.003774758928573,150.8174939698332,3.197086704335698,7.0,4.955,2.1748
AlZnH10O7F5,0.9899999999999992,-1.748158874062499,0.021785255520832,486.9139666979149,2.110708363781327,48.0,-1.0455,-2.0355
