material_id,actual,predicted
mp-559374,0.0,0.966222368181818
mp-9920,0.2261,0.966222368181818
mp-510285,0.0,0.7894982717532464
mp-32630,0.0,0.8511105636363632
mp-1101121,0.0,0.883412396070596
mp-620032,0.0,0.7471587110389605
mp-680576,0.0,0.7471587110389605
mp-1208273,0.0,0.8662814112554112
mp-1217116,0.0,0.8369502836580085
mp-1077978,0.0,0.8631870719696968
mp-9227,0.0,0.8631870719696968
mp-1198191,0.0,0.7946304384199131
mp-1364133,0.0,0.7946304384199131
mp-680260,0.0,0.7946304384199131
mp-11765,0.0,0.8667538278887775
mp-679962,0.0,0.7937182717532464
mp-619905,0.0,0.8500346036796533
mp-10027,0.0,0.9029803960705959
mp-1079888,0.0,0.9029803960705959
mp-13152,0.0,0.9029803960705959
mp-568789,0.0,0.9029803960705959
mp-571651,0.0,0.9029803960705959
mp-2194,0.0,0.7307855952380948
mp-1217180,0.0,0.554800431869927
mp-1217210,0.0,0.554800431869927
mp-1187477,0.0,0.6622008207119735
mp-15669,0.0,0.535928931869927
mp-7498,0.0,0.6605345739799475
mp-1208221,0.0,0.5626451912282158
mp-567832,0.0,0.6186020355184089
mp-599,0.0,0.6186020355184089
mp-1907,0.0,0.5214950483710727
mp-1193856,0.0,0.9178777295942616
mp-673649,0.0,0.9189388497474748
mp-1197374,0.0,0.9781664731840048
mp-1188005,0.0,0.920169743879976
mp-1215419,0.0,0.9495219023215342
mp-1103820,0.0,0.9103298497474746
mp-1215543,0.0,0.9103298497474746
mp-1329763,0.0,0.9103298497474746
mp-684711,0.0,0.9103298497474746
mp-684749,0.0,0.9103298497474746
mp-1100827,0.0,0.9411209023215343
mp-1215375,0.0,0.981195979112554
mp-1024087,0.0,1.1447879880952374
mp-1096929,0.1044,1.1873353452380946
mp-27191,0.0,0.9172819303030298
mp-1925,0.0,0.994084043599456
mp-7859,0.0,0.994084043599456
mp-1186,1.0418,1.1913359880952374
mp-9921,1.113299999999999,1.13476599047619
mp-22642,0.0,0.9062943927107204
mp-1215598,0.0,1.0256465358675642
mp-1188055,0.0,0.8114319879488155
mp-1215426,0.0,0.8731823097152845
mp-1215400,0.0,1.007725241749917
mp-1215359,0.0,1.0409765358675642
mp-1215925,0.0,1.0409765358675642
mp-1183040,0.0,0.8814321299533799
mp-1215280,0.0,0.8814321299533799
mp-684965,0.0,0.8814321299533799
mp-2076,0.3296,0.9534318155462187
mp-1683,0.3979,0.8692687777417025
mp-21559,0.0,0.6586675837350618
mp-1215634,0.0,0.4746753856421353
mp-1103188,0.0,0.6557078309878093
mp-1793,0.0,0.6557078309878093
mp-1215393,0.0,0.6355248837350619
mp-350,0.0,0.6308548837350618
mp-29957,0.0,0.5114608987373733
mp-1319,0.0,0.6105582837350618
mp-1539,0.0,0.6105582837350618
mp-568865,0.0,0.6105582837350618
mp-569544,0.0,0.6105582837350618
mp-1018107,0.0,0.4770508875901872
mp-2089,0.0,0.43693475644466623
mp-605,0.0192,0.5555694840187588
mp-10000,0.0,0.9238642157693435
mp-1206743,0.0,1.0357733642664346
mp-985829,1.2237,1.289062673412698
mp-9922,1.1326,1.0737800892857141
mp-32873,0.0,0.8182527864468859
mp-1206927,0.0,0.7387352999104649
mp-1224485,0.0,0.9441751222312003
mp-1184547,0.0,0.667219656841769
mp-985831,0.5342,0.8865028888978667
mp-15622,0.317099999999999,0.8182622447619045
mp-567584,0.0,0.5140262753704626
mp-1224444,0.0,0.46063768548951023
mp-28919,0.0,0.5013249753704627
mp-12884,0.0,0.5094744753704625
mp-32887,0.0,0.434388759299034
mp-1025459,0.0,0.46344467405483386
mp-1168,0.0,0.5670301006854256
mp-1100973,0.0,0.5894798356726603
mp-1376600,0.459999999999999,0.8067615539682537
mp-555283,0.0,0.8249044833333328
mp-7945,0.0,0.8249044833333328
mp-1081,0.0,0.6491932134087454
mp-560908,0.0,0.6491932134087454
mp-799,0.0,0.6491932134087454
mp-1216498,0.0,0.6522662753551998
mp-1133,0.0,0.8119350287311592
mp-690772,0.0,0.6281312356726602
mp-1100925,0.0,0.7099642657896977
mp-1207843,0.0,0.7099642657896977
mp-1216463,0.0,0.7099642657896977
mp-1214,0.0,0.857947790852371
mp-1868,0.0,0.857947790852371
mp-33031,0.0,0.857947790852371
mp-849065,0.0,0.857947790852371
mp-1013525,0.0,0.753232543212343
mp-1013526,0.0,0.753232543212343
mp-1178763,0.0,0.753232543212343
mp-1405126,0.0,0.753232543212343
mp-1424931,0.0,0.753232543212343
mp-1443423,0.0,0.753232543212343
mp-557523,0.0,0.753232543212343
mp-611224,0.0,0.753232543212343
mp-655446,0.0,0.753232543212343
mp-849060,0.0,0.753232543212343
mp-849080,0.0,0.753232543212343
mp-849098,0.0,0.753232543212343
mp-9561,0.0,0.753232543212343
mp-541155,0.9239,0.9916625337662333
mp-685047,0.0,0.7238117273809523
mp-28256,0.722,0.850113836507936
mp-22700,0.0,0.7495539377073903
mp-1087497,0.0,0.7703311567550094
mp-1207893,0.0,0.7284501857142857
mp-29131,0.0,0.7848616829836825
mp-569668,0.0,0.7848616829836825
mp-604914,0.0,0.7848616829836825
mp-694,0.0,0.8027325523809519
mp-1028,0.0,0.501057343345543
mp-2026078,0.0,0.6631206064262594
mp-9948,0.0,0.6631206064262594
