,A_Z,B_Z,X_Z,weighted_Z,delta_AB_Z,delta_AX_Z,delta_BX_Z,A_mass,B_mass,X_mass,weighted_mass,delta_AB_mass,delta_AX_mass,delta_BX_mass,A_X,B_X,X_X,weighted_X,delta_AB_X,delta_AX_X,delta_BX_X,A_row,B_row,X_row,weighted_row,delta_AB_row,delta_AX_row,delta_BX_row,A_group,B_group,X_group,weighted_group,delta_AB_group,delta_AX_group,delta_BX_group
1115,0.008838537,-0.006317417,-0.2469313,-0.0013111462,-0.011060288,-0.018101964,-0.0034154758,-0.005136466,-0.011383677,-0.20260742,-0.007128122,-0.010077073,0.0021259163,0.007513109,-0.20373394,-0.012225112,-0.035791323,-0.07072898,0.049748622,-0.09662802,-0.025857188,-0.00012908461,0.0,0.0,-0.032951854,-0.0026508763,-0.03237109,0.0046935715,0.079302736,0.08142443,-0.07889431,-0.020086326,-0.0134598045,0.017181942,0.03123299
2683,0.1511648,0.054890558,0.03843312,0.06771619,0.010796178,-0.0072544557,-0.02532525,-0.013148412,0.0054065674,0.02018152,0.08313466,0.005175805,0.005163164,0.010546582,-0.0175496,-0.04056701,0.0024799833,0.040726822,0.053239584,-0.035781782,0.032732595,0.010971305,0.0,0.0,-0.0272714,0.083402194,-0.026160777,0.0027178037,-0.0046452563,0.14438571,-0.0019352152,0.001755765,0.01809287,-0.004834539,0.047545627
1221,0.08560319,0.16341737,0.054536704,0.022198977,0.037253145,0.09458479,-0.0009931375,0.053727802,0.043802783,0.031115409,-0.018337369,0.040147625,0.0338332,-0.03352767,-0.014081942,0.09522298,0.0051257913,0.07868713,0.21650408,0.038196865,0.063362524,-0.00024479584,0.0,0.0,-0.028352812,-0.0014075788,0.13008675,0.0018837561,0.0048473817,-0.0257271,-0.0014776113,-0.025697488,0.015995469,-0.023337979,-0.029746333
4717,-0.011334949,0.016920967,0.041084446,0.013483003,0.013411412,-0.0025180336,0.029519198,-0.0019423952,-0.014114663,0.02794884,0.0005472811,0.035047937,-0.0057058153,-0.002515263,0.17438565,0.022947703,0.0015624388,-0.027207943,-0.0134026855,0.10092211,-0.008041249,-0.0010863129,0.0,0.0,-0.020824721,0.044092536,-0.019285524,0.0016003016,-0.014340911,-0.041183293,-0.0073437886,0.0036895864,-0.0006699943,0.0029090983,-0.014962928
5605,0.052285302,0.076459296,0.033223353,-0.013693345,-0.0063938713,0.048386443,-0.025462361,0.012558741,0.020661756,0.02441691,-0.010132815,0.021029808,0.008883119,-0.03550317,-0.14156595,0.024548406,0.00445145,-0.023833679,-0.022890095,-0.08410869,-0.039171726,-0.0009231125,0.0,0.0,-0.0434676,0.0032489724,0.106666185,-0.0019902524,-0.077400655,0.1181109,-0.0025434834,-0.028809227,-0.025763523,-0.039029058,0.03573708
511,-0.27648023,0.1359909,0.03891087,-0.025886983,0.013523966,0.034869127,-0.02375999,-0.026516184,0.01607776,0.030810684,-0.07817472,-0.019931596,-0.016827244,-0.056848314,-0.26511762,-0.023376603,0.005177752,0.029239789,-0.0065634474,-0.09928864,0.063471735,-0.00010572172,0.0,0.0,-0.03269598,-0.0027144924,0.13132964,-0.040298283,0.07901987,-0.06635487,-0.0013553044,-0.003678743,-0.0046380186,0.03997541,-0.03718417
5705,0.0056337016,0.027212067,-0.2005707,-0.006261848,-0.0038551127,0.00516063,-0.030581458,0.0012269537,0.0015101308,-0.17413235,-0.0076221265,0.0063317055,-0.017160362,-0.009969726,-0.18479851,-0.056216232,-0.022943223,-0.05789029,-0.07044387,-0.100885466,0.013026193,-0.00011481758,0.0,0.0,-0.0025781896,-0.0019044555,-0.05258276,-0.0033585548,0.10216406,-0.072578035,0.0010704359,-0.011377047,-0.00065868715,0.03847519,-0.039927833
3131,-0.03170147,0.08407704,0.03752153,0.021080934,0.0073235985,-0.0082182465,-0.030891107,-0.03263268,0.0089633735,0.022905279,0.042620838,-0.047697693,-0.022789722,-0.028673723,-0.12649244,0.028090307,0.0024697585,-0.016886922,-0.13812993,-0.0903118,-0.022824518,-0.0010863129,0.0,0.0,-0.036394045,-0.004830639,-0.04734831,-0.0019902524,-0.16473672,0.12658238,-0.0021528401,-0.024380587,-0.03405652,-0.04824798,0.03457428
1047,0.01550596,0.10502975,0.03353607,0.018776726,0.06712031,0.0057651093,-0.034578916,0.00044098214,0.020709189,0.03867167,0.017845264,0.0124695,-0.022936277,-0.031792425,0.2740489,0.071967766,0.0047735404,0.042248115,-0.005502849,0.5300117,-0.018134963,-0.00022143294,0.0,0.0,-0.03710066,0.050078012,0.059135426,-0.0022737067,-0.0021633215,0.254046,-0.0024688183,0.0049938685,0.077663966,-0.0068462975,0.030241717
37,0.013145422,-0.01873354,-0.077287756,0.02667464,0.035940856,0.005889059,-0.015474063,0.02118481,-0.004761697,0.030971223,0.024470417,0.011080859,0.005402389,0.0011104086,-0.089650854,0.037104968,8.033763e-06,0.25642034,0.014746533,-0.078465626,-0.039033953,-0.00010572172,0.0,0.0,-0.048816632,0.008314182,-0.051257003,7.1267255e-05,0.069829255,0.11879155,0.009129147,0.029568555,-0.026045829,-0.010401777,0.057119727
960,-0.06087023,0.10079689,-0.12917745,-0.042372875,-0.019435367,-0.0039526303,-0.059781916,-0.013318162,-0.012958936,-0.09298193,-0.08526788,0.0030777215,-0.00039511148,-0.013143891,-0.21855733,-0.13836935,0.11722781,0.10226789,-0.079534754,-0.07775296,0.041654658,-0.00027801792,0.0,0.0,-0.014320387,-0.03376083,-0.007905171,-0.0005886548,-0.13041958,0.07224155,-0.014737547,0.08835084,-0.0650471,0.0415752,-0.044615757
1483,0.0020627372,0.017061075,-0.21656807,-0.008310366,-0.0041468483,0.0052594184,0.009436059,0.003236454,0.009370771,-0.17409912,0.00841771,0.0071352525,-0.015514509,0.013738584,-0.20252933,-0.022273488,-0.028533846,-0.06541241,-0.084993176,-0.08950304,0.007191221,-0.00011481758,0.0,0.0,-0.031582072,5.567995e-05,-0.04088078,0.003768652,0.12076917,0.09618232,0.0002598511,0.046844106,-0.016278563,0.032900758,0.04578698
4003,-0.025885168,0.06778679,0.03204382,0.023577224,0.009746851,0.013556294,-0.005871635,-0.027719231,0.029736897,0.014551572,0.03672927,0.017815463,-0.0019284408,0.015858,-0.08646569,0.08833238,0.05642146,0.25443903,-0.06984377,-0.08157175,0.032045305,-0.0010863129,0.0,0.0,-0.031435438,0.0050868737,-0.04754711,0.00077964773,-0.03119415,0.14070551,0.008353239,0.12592156,0.037333228,0.040896647,0.062124263
101,0.012129374,0.08876717,-0.16160533,-0.052221537,-0.05471022,-0.004495749,-0.016485857,0.0019447999,0.005115372,-0.116856985,-0.06750567,-0.005484836,0.00014959616,-0.039704263,-0.20079346,-0.05641347,0.14643966,0.040047698,-0.038174074,-0.07033286,0.20851791,-0.00027801792,0.0,0.0,-0.006675219,-0.007692474,-0.027984358,-0.0005886548,-0.13200788,-0.052766167,-0.020447634,0.08280285,-2.668154e-05,0.044362694,0.03520173
1199,0.038173836,-0.06078736,-0.14941065,0.0068620597,-0.00875567,-0.03796162,0.010065198,0.030493297,-0.08294338,-0.13992341,-0.015414145,0.015591141,0.046999577,0.04465485,-0.026325913,-0.13982448,-0.019965436,-0.04280067,0.029893672,-0.068859525,0.030065747,-0.00022143294,0.0,0.0,0.023916213,0.0032894968,0.09798319,0.003768652,-0.008165063,-0.16512018,-3.6446436e-06,0.07840692,0.009624618,-0.016593816,-0.038000137
6602,0.009835289,0.00087337964,0.038064044,3.3866963e-06,-0.01076974,-0.0022381614,-0.039001938,0.0031119767,-0.012326131,0.02366162,-0.032165647,0.013611916,-0.011451168,-0.0066611497,-0.13299885,-0.0238459,0.0022238316,0.04603662,-0.07074609,-0.072241925,-0.059793264,-0.00027801792,0.0,0.0,-0.058085732,-0.0019141571,-0.04734831,0.0023023828,0.097131155,0.120795,-0.0019291051,-0.017435469,-0.012089594,0.02876251,0.04206085
3715,-0.025425972,0.09886415,0.03426809,0.02688038,-0.035294455,0.0022886824,-0.017944481,-0.001684867,0.021773763,0.028382909,0.05762099,0.047441166,-0.004101263,-0.024825906,0.18983611,0.086798236,0.0023308601,0.028478744,0.05594584,0.08214706,0.123253666,-0.00024479584,0.0,0.0,-0.017305115,-0.024420438,-0.020886693,0.0020189288,-0.008707362,-0.0014901157,-0.0068223914,-0.054320026,-0.011498512,-0.004107891,-0.021308832
