material_id,formula,chemsys,band_gap,formation_energy_per_atom,energy_above_hull,volume,density,nsites,elements,crystal_system,spacegroup,is_stable,cif_path
mp-10033,NbS2,Nb-S,0.0,-1.348540539999998,0.0,124.07739745121462,4.203264240289562,6,"['Nb', 'S']",Hexagonal,P6_3/mmc,True,data\tmc_data\cif\mp-10033.cif
mp-1008860,NbS2,Nb-S,0.0,-1.079420891666667,0.26911964833333,62.90299332310541,4.14551089052322,3,"['Nb', 'S']",Tetragonal,I4/mmm,False,data\tmc_data\cif\mp-1008860.cif
mp-1072712,NbS2,Nb-S,0.0,-1.330876201666663,0.017664338333335,171.59137172719176,3.039372449123209,6,"['Nb', 'S']",Hexagonal,P6_3/mmc,False,data\tmc_data\cif\mp-1072712.cif
mp-1173504,NbS2,Nb-S,0.0,-1.310397668333332,0.038142871666664004,249.4717449279271,3.135806549268075,9,"['Nb', 'S']",Triclinic,P1,False,data\tmc_data\cif\mp-1173504.cif
mp-1802,NbS2,Nb-S,0.0,-1.30421061333333,0.044329926666667005,63.17206833098109,4.127853507996626,3,"['Nb', 'S']",Trigonal,R-3m,False,data\tmc_data\cif\mp-1802.cif
mp-1874,NbS2,Nb-S,0.0,-1.329801329999998,0.018739209999999,145.863293275371,1.787735886198265,3,"['Nb', 'S']",Hexagonal,P-6m2,False,data\tmc_data\cif\mp-1874.cif
mp-2648,NbS2,Nb-S,0.0,-1.329370606666663,0.019169933333334003,112.7914066498148,2.311922970134099,3,"['Nb', 'S']",Orthorhombic,Fmm2,False,data\tmc_data\cif\mp-2648.cif
mp-554074,NbS2,Nb-S,0.0,-1.33835678083333,0.010183759166667,371.2443326960839,2.8096325885832822,12,"['Nb', 'S']",Orthorhombic,Cmc2_1,False,data\tmc_data\cif\mp-554074.cif
mp-555293,NbS2,Nb-S,0.0,-1.329688219999997,0.018852320000000002,216.9941702472992,1.201714514128466,3,"['Nb', 'S']",Orthorhombic,Fmm2,False,data\tmc_data\cif\mp-555293.cif
mp-632475,NbS2,Nb-S,0.0,-1.057000578333333,0.291539961666664,56.008377183166246,4.65582216414972,3,"['Nb', 'S']",Orthorhombic,Amm2,False,data\tmc_data\cif\mp-632475.cif
mp-774873,NbS2,Nb-S,0.0,-1.2909205533333301,0.057619986666668004,140.2435351667659,3.718746016454346,6,"['Nb', 'S']",Hexagonal,P6_3/mmc,False,data\tmc_data\cif\mp-774873.cif
mp-966,NbS2,Nb-S,0.0,-1.3467318399999981,0.001808699999999,62.51091888716809,4.171511929589814,3,"['Nb', 'S']",Trigonal,R3m,False,data\tmc_data\cif\mp-966.cif
mp-995122,NbS2,Nb-S,0.0,-1.305522709999997,0.043017830000001006,62.20506345352335,4.192022793486482,3,"['Nb', 'S']",Trigonal,P-3m1,False,data\tmc_data\cif\mp-995122.cif
mp-1190583,NbS3,Nb-S,0.0,-1.14945814645833,0.0,473.56548423398874,3.978460079867045,24,"['Nb', 'S']",Monoclinic,P2_1/m,True,data\tmc_data\cif\mp-1190583.cif
mp-562100,NbS3,Nb-S,0.40479999999999905,-1.138030066041664,0.011428080416667001,320.7208358810301,3.916305944705787,16,"['Nb', 'S']",Triclinic,P-1,False,data\tmc_data\cif\mp-562100.cif
mp-1210578,NbS6,Nb-S,0.06329999999999901,0.6840770935714291,1.340910320119047,3967.992039152498,0.11939181829879401,7,"['Nb', 'S']",Orthorhombic,Cmmm,False,data\tmc_data\cif\mp-1210578.cif
mp-27793,Nb2Se,Nb-Se,0.0,-0.598921481354165,0.0,228.08713712193054,7.710483235474518,12,"['Nb', 'Se']",Monoclinic,C2/m,True,data\tmc_data\cif\mp-27793.cif
mp-1173590,Nb2Se3,Nb-Se,0.0,-0.7321525014374991,0.27747576974999705,214.55372342115518,6.5428632974240895,10,"['Nb', 'Se']",Monoclinic,Pm,False,data\tmc_data\cif\mp-1173590.cif
mp-1220681,Nb2Se3,Nb-Se,0.0,-0.8966087234375011,0.113019547749999,141.75015689876827,4.9516547741830195,5,"['Nb', 'Se']",Trigonal,P3m1,False,data\tmc_data\cif\mp-1220681.cif
mp-2330,Nb2Se3,Nb-Se,0.0,-0.974626388437499,0.035001882749998,208.12684634609485,6.744904402979224,10,"['Nb', 'Se']",Monoclinic,P2_1/m,False,data\tmc_data\cif\mp-2330.cif
mp-541106,Nb2Se9,Nb-Se,0.7746999999999991,-0.581150554232953,0.0,613.4361653551142,4.8532998652913,22,"['Nb', 'Se']",Triclinic,P-1,True,data\tmc_data\cif\mp-541106.cif
mp-1186219,Nb3Se,Nb-Se,0.0,-0.038999446640623006,0.41019166437499804,141.86662222578835,8.373219520693217,8,"['Nb', 'Se']",Hexagonal,P6_3/mmc,False,data\tmc_data\cif\mp-1186219.cif
mp-561,Nb3Se4,Nb-Se,0.0,-0.9978607266071431,0.0,311.81062341108566,6.33261733403146,14,"['Nb', 'Se']",Hexagonal,P6_3/m,True,data\tmc_data\cif\mp-561.cif
mp-15837,Nb5Se4,Nb-Se,0.0,-0.767630425138889,0.017462703999999,172.68874854765627,7.50389378187694,9,"['Nb', 'Se']",Tetragonal,I4/m,False,data\tmc_data\cif\mp-15837.cif
mp-10228,NbSe2,Nb-Se,0.0,-0.931772326041667,0.051671131666665,69.98606492239914,5.951284779129697,3,"['Nb', 'Se']",Trigonal,P-3m1,False,data\tmc_data\cif\mp-10228.cif
mp-1072113,NbSe2,Nb-Se,0.0,-0.9832841210416651,0.000159336666666,142.90086198122393,5.829314073397019,6,"['Nb', 'Se']",Hexagonal,P6_3/mmc,False,data\tmc_data\cif\mp-1072113.cif
mp-1102559,NbSe2,Nb-Se,0.0,-0.9593207677083341,0.024122689999998,280.49543023789437,5.9395905675983105,12,"['Nb', 'Se']",Hexagonal,P6_3/mmc,False,data\tmc_data\cif\mp-1102559.cif
mp-1186234,NbSe2,Nb-Se,0.0,-0.9563932752083321,0.027050182500001,285.11412532052543,5.843372403322627,12,"['Nb', 'Se']",Orthorhombic,Amm2,False,data\tmc_data\cif\mp-1186234.cif
mp-2207,NbSe2,Nb-Se,0.0,-0.9834434577083321,0.0,142.2264160845346,5.856957018115384,6,"['Nb', 'Se']",Hexagonal,P6_3/mmc,True,data\tmc_data\cif\mp-2207.cif
mp-568347,NbSe2,Nb-Se,0.0,-0.9738896085416661,0.009553849166668,410.29245658684795,4.060586503478095,12,"['Nb', 'Se']",Orthorhombic,C222_1,False,data\tmc_data\cif\mp-568347.cif
